id,created_at,retweet_count,favorite_count,deleted,time_downloaded
1141146803104092161,2019-06-19 00:52:53.000000,0.0,0.0,0,2019-07-12 12:24
1141146917239476224,2019-06-19 00:53:21.000000,,,1,2019-07-12 12:24
1141147026580758530,2019-06-19 00:53:47.000000,0.0,4.0,0,2019-07-12 12:24
1141147723808116736,2019-06-19 00:56:33.000000,0.0,6.0,0,2019-07-12 12:24
1141147767622000641,2019-06-19 00:56:43.000000,0.0,6.0,0,2019-07-12 12:24
1141148223601565696,2019-06-19 00:58:32.000000,1.0,0.0,0,2019-07-12 12:24
1141149340045578240,2019-06-19 01:02:58.000000,1.0,12.0,0,2019-07-12 12:24
1141150262368886784,2019-06-19 01:06:38.000000,,,1,2019-07-12 12:24
1141150563079512065,2019-06-19 01:07:50.000000,1.0,0.0,0,2019-07-12 12:24
1141151572065423365,2019-06-19 01:11:51.000000,,,1,2019-07-12 12:24
1141154564835618817,2019-06-19 01:23:44.000000,,,1,2019-07-12 12:24
1141165723773022209,2019-06-19 02:08:05.000000,3.0,0.0,0,2019-07-12 12:24
1141171746906824704,2019-06-19 02:32:01.000000,2.0,4.0,0,2019-07-12 12:24
1141184071831293953,2019-06-19 03:20:59.000000,17.0,0.0,0,2019-07-12 12:24
1141184215008055296,2019-06-19 03:21:33.000000,0.0,0.0,0,2019-07-12 12:24
1141193748505911298,2019-06-19 03:59:26.000000,1.0,15.0,0,2019-07-12 12:24
1141193889652629505,2019-06-19 04:00:00.000000,,,1,2019-07-12 12:24
1141198766411829248,2019-06-19 04:19:23.000000,1.0,0.0,0,2019-07-12 12:24
1141200307361320960,2019-06-19 04:25:30.000000,,,1,2019-07-12 12:24
1141207842273316864,2019-06-19 04:55:26.000000,0.0,6.0,0,2019-07-12 12:24
1141210026813677568,2019-06-19 05:04:07.000000,2.0,0.0,0,2019-07-12 12:24
1141217576393068549,2019-06-19 05:34:07.000000,,,1,2019-07-12 12:24
1141227610535530498,2019-06-19 06:13:59.000000,0.0,3.0,0,2019-07-12 12:24
