year,month,state,frequency,sentiment
2017,6,FL,0.0,
2017,7,FL,7.0,0.0
2017,8,FL,9.0,0.0488888888888889
2017,9,FL,6.0,0.125
2017,10,FL,17.0,0.192254901960784
2017,11,FL,3.0,0.0
2017,12,FL,6.0,0.108964646464646
2018,1,FL,9.0,0.134567901234568
2018,2,FL,5.0,0.0779671717171717
2018,3,FL,16.0,0.145461309523809
2018,4,FL,4.0,0.108333333333333
2018,5,FL,5.0,0.200416666666667
2018,6,FL,8.0,0.154943970959596
2018,7,FL,2.0,0.075
2018,8,FL,4.0,0.132291666666667
2018,9,FL,12.0,0.0452256944444444
2018,10,FL,1.0,0.177777777777778
2018,11,FL,0.0,
2018,12,FL,0.0,
2019,1,FL,0.0,
2019,2,FL,0.0,
2019,3,FL,0.0,
2019,4,FL,0.0,
2019,5,FL,0.0,
2019,6,FL,12.0,0.144917355371901
2019,7,FL,34.0,0.112634061200238
2019,8,FL,0.0,
2019,9,FL,0.0,
2019,10,FL,0.0,
2019,11,FL,0.0,
2019,12,FL,0.0,
2020,1,FL,0.0,
2012,1,GA,0.0,
2012,2,GA,0.0,
2012,3,GA,0.0,
2012,4,GA,0.0,
2012,5,GA,0.0,
2012,6,GA,0.0,
2012,7,GA,0.0,
2012,8,GA,0.0,
2012,9,GA,0.0,
2012,10,GA,0.0,
2012,11,GA,0.0,
2012,12,GA,0.0,
2013,1,GA,0.0,
2013,2,GA,0.0,
2013,3,GA,0.0,
2013,4,GA,0.0,
2013,5,GA,0.0,
2013,6,GA,0.0,
2013,7,GA,0.0,
2013,8,GA,0.0,
2013,9,GA,0.0,
2013,10,GA,0.0,
2013,11,GA,0.0,
2013,12,GA,0.0,
2014,1,GA,0.0,
2014,2,GA,0.0,
2014,3,GA,0.0,
2014,4,GA,0.0,
2014,5,GA,0.0,
2014,6,GA,0.0,
2014,7,GA,0.0,
2014,8,GA,0.0,
2014,9,GA,0.0,
2014,10,GA,0.0,
2014,11,GA,0.0,
2014,12,GA,0.0,
2015,1,GA,0.0,
2015,2,GA,0.0,
2015,3,GA,0.0,
2015,4,GA,0.0,
2015,5,GA,0.0,
2015,6,GA,0.0,
2015,7,GA,0.0,
2015,8,GA,0.0,
2015,9,GA,0.0,
2015,10,GA,0.0,
2015,11,GA,0.0,
2015,12,GA,0.0,
2016,1,GA,0.0,
2016,2,GA,0.0,
2016,3,GA,0.0,
2016,4,GA,0.0,
2016,5,GA,0.0,
2016,6,GA,0.0,
2016,7,GA,0.0,
2016,8,GA,0.0,
2016,9,GA,0.0,
2016,10,GA,0.0,
2016,11,GA,0.0,
2016,12,GA,0.0,
2017,1,GA,0.0,
2017,2,GA,0.0,
2017,3,GA,0.0,
2017,4,GA,0.0,
2017,5,GA,0.0,
2017,6,GA,0.0,
2017,7,GA,9.0,0.217592592592593
2017,8,GA,8.0,0.192438446969697
2017,9,GA,21.0,0.00649350649350649
2017,10,GA,6.0,0.19375
2017,11,GA,17.0,0.246662727591036
2017,12,GA,9.0,0.0509090909090909
2018,1,GA,10.0,0.156833333333333
2018,2,GA,11.0,0.139583333333333
2018,3,GA,10.0,0.145
2018,4,GA,1.0,0.2
2018,5,GA,7.0,0.111190476190476
2018,6,GA,4.0,0.0113636363636364
2018,7,GA,5.0,0.316
2018,8,GA,9.0,0.0864197530864197
2018,9,GA,14.0,0.282610544217687
2018,10,GA,5.0,0.0979166666666667
2018,11,GA,0.0,
2018,12,GA,0.0,
2019,1,GA,0.0,
2019,2,GA,0.0,
2019,3,GA,0.0,
2019,4,GA,0.0,
2019,5,GA,0.0,
2019,6,GA,5.0,0.144643939393939
2019,7,GA,18.0,0.146633397466731
2019,8,GA,0.0,
2019,9,GA,0.0,
2019,10,GA,0.0,
2019,11,GA,0.0,
2019,12,GA,0.0,
2020,1,GA,0.0,
2012,1,HI,0.0,
2012,2,HI,0.0,
