year,month,state,frequency,sentiment
2019,2,CT,0.0,
2019,3,CT,0.0,
2019,4,CT,0.0,
2019,5,CT,0.0,
2019,6,CT,2.0,0.244166666666667
2019,7,CT,2.0,0.118560606060606
2019,8,CT,0.0,
2019,9,CT,0.0,
2019,10,CT,0.0,
2019,11,CT,0.0,
2019,12,CT,0.0,
2020,1,CT,0.0,
2012,1,DE,0.0,
2012,2,DE,0.0,
2012,3,DE,0.0,
2012,4,DE,0.0,
2012,5,DE,0.0,
2012,6,DE,0.0,
2012,7,DE,0.0,
2012,8,DE,0.0,
2012,9,DE,0.0,
2012,10,DE,0.0,
2012,11,DE,0.0,
2012,12,DE,0.0,
2013,1,DE,0.0,
2013,2,DE,0.0,
2013,3,DE,0.0,
2013,4,DE,0.0,
2013,5,DE,0.0,
2013,6,DE,0.0,
2013,7,DE,0.0,
2013,8,DE,0.0,
2013,9,DE,0.0,
2013,10,DE,0.0,
2013,11,DE,0.0,
2013,12,DE,0.0,
2014,1,DE,0.0,
2014,2,DE,0.0,
2014,3,DE,0.0,
2014,4,DE,0.0,
2014,5,DE,0.0,
2014,6,DE,0.0,
2014,7,DE,0.0,
2014,8,DE,0.0,
2014,9,DE,0.0,
2014,10,DE,0.0,
2014,11,DE,0.0,
2014,12,DE,0.0,
2015,1,DE,0.0,
2015,2,DE,0.0,
2015,3,DE,0.0,
2015,4,DE,0.0,
2015,5,DE,0.0,
2015,6,DE,0.0,
2015,7,DE,0.0,
2015,8,DE,0.0,
2015,9,DE,0.0,
2015,10,DE,0.0,
2015,11,DE,0.0,
2015,12,DE,0.0,
2016,1,DE,0.0,
2016,2,DE,0.0,
2016,3,DE,0.0,
2016,4,DE,0.0,
2016,5,DE,0.0,
2016,6,DE,0.0,
2016,7,DE,0.0,
2016,8,DE,0.0,
2016,9,DE,0.0,
2016,10,DE,0.0,
2016,11,DE,0.0,
2016,12,DE,0.0,
2017,1,DE,0.0,
2017,2,DE,0.0,
2017,3,DE,0.0,
2017,4,DE,0.0,
2017,5,DE,0.0,
2017,6,DE,0.0,
2017,7,DE,3.0,0.05
2017,8,DE,1.0,0.0
2017,9,DE,3.0,-0.236111111111111
2017,10,DE,1.0,0.0
2017,11,DE,2.0,-0.15
2017,12,DE,3.0,-0.0925925925925926
2018,1,DE,2.0,-0.00916666666666666
2018,2,DE,0.0,
2018,3,DE,3.0,0.0333333333333333
2018,4,DE,10.0,-0.0694537037037037
2018,5,DE,1.0,0.0833333333333333
2018,6,DE,2.0,-0.26875
2018,7,DE,3.0,0.093452380952381
2018,8,DE,2.0,0.0140873015873016
2018,9,DE,4.0,0.103835227272727
2018,10,DE,0.0,
2018,11,DE,0.0,
2018,12,DE,0.0,
2019,1,DE,0.0,
2019,2,DE,0.0,
2019,3,DE,0.0,
2019,4,DE,0.0,
2019,5,DE,0.0,
2019,6,DE,0.0,
2019,7,DE,0.0,
2019,8,DE,0.0,
2019,9,DE,0.0,
2019,10,DE,0.0,
2019,11,DE,0.0,
2019,12,DE,0.0,
2020,1,DE,0.0,
2012,1,FL,0.0,
2012,2,FL,0.0,
2012,3,FL,0.0,
2012,4,FL,0.0,
2012,5,FL,0.0,
2012,6,FL,0.0,
2012,7,FL,0.0,
2012,8,FL,0.0,
2012,9,FL,0.0,
2012,10,FL,0.0,
2012,11,FL,0.0,
2012,12,FL,0.0,
2013,1,FL,0.0,
2013,2,FL,0.0,
2013,3,FL,0.0,
2013,4,FL,0.0,
2013,5,FL,0.0,
2013,6,FL,0.0,
2013,7,FL,0.0,
2013,8,FL,0.0,
2013,9,FL,0.0,
2013,10,FL,0.0,
2013,11,FL,0.0,
2013,12,FL,0.0,
2014,1,FL,0.0,
2014,2,FL,0.0,
2014,3,FL,0.0,
2014,4,FL,0.0,
2014,5,FL,0.0,
2014,6,FL,0.0,
2014,7,FL,0.0,
2014,8,FL,0.0,
2014,9,FL,0.0,
2014,10,FL,0.0,
2014,11,FL,0.0,
2014,12,FL,0.0,
2015,1,FL,0.0,
2015,2,FL,0.0,
2015,3,FL,0.0,
2015,4,FL,0.0,
2015,5,FL,0.0,
2015,6,FL,0.0,
2015,7,FL,0.0,
2015,8,FL,0.0,
2015,9,FL,0.0,
2015,10,FL,0.0,
2015,11,FL,0.0,
2015,12,FL,0.0,
2016,1,FL,0.0,
2016,2,FL,0.0,
2016,3,FL,0.0,
2016,4,FL,0.0,
2016,5,FL,0.0,
2016,6,FL,0.0,
2016,7,FL,0.0,
2016,8,FL,0.0,
2016,9,FL,0.0,
2016,10,FL,0.0,
2016,11,FL,0.0,
2016,12,FL,0.0,
2017,1,FL,0.0,
2017,2,FL,0.0,
2017,3,FL,0.0,
2017,4,FL,0.0,
2017,5,FL,0.0,
2017,6,FL,0.0,
2017,7,FL,72.0,-0.00928839678839679
2017,8,FL,65.0,0.0171971778221778
2017,9,FL,67.0,-0.0207645260350484
2017,10,FL,65.0,-0.0507532051282051
2017,11,FL,41.0,0.045020325203252
2017,12,FL,43.0,-0.0284463237021377
2018,1,FL,47.0,-0.00237629588693419
2018,2,FL,38.0,-0.0360558118781803
2018,3,FL,78.0,0.0862799603945438
2018,4,FL,189.0,-0.115143995277373
2018,5,FL,55.0,0.0240230442957716
2018,6,FL,45.0,0.00285553952220619
2018,7,FL,58.0,-0.0117787480718515
2018,8,FL,23.0,0.0685006901311249
2018,9,FL,51.0,0.0546963507625272
2018,10,FL,11.0,0.00922405876951331
2018,11,FL,0.0,
2018,12,FL,0.0,
2019,1,FL,0.0,
2019,2,FL,0.0,
2019,3,FL,0.0,
2019,4,FL,0.0,
2019,5,FL,0.0,
2019,6,FL,6.0,0.121851851851852
2019,7,FL,26.0,0.025625
2019,8,FL,0.0,
2019,9,FL,0.0,
2019,10,FL,0.0,
2019,11,FL,0.0,
2019,12,FL,0.0,
2020,1,FL,0.0,
2012,1,GA,0.0,
2012,2,GA,0.0,
2012,3,GA,0.0,
2012,4,GA,0.0,
2012,5,GA,0.0,
2012,6,GA,0.0,
2012,7,GA,0.0,
2012,8,GA,0.0,
2012,9,GA,0.0,
2012,10,GA,0.0,
2012,11,GA,0.0,
2012,12,GA,0.0,
2013,1,GA,0.0,
2013,2,GA,0.0,
2013,3,GA,0.0,
2013,4,GA,0.0,
2013,5,GA,0.0,
2013,6,GA,0.0,
2013,7,GA,0.0,
2013,8,GA,0.0,
2013,9,GA,0.0,
2013,10,GA,0.0,
2013,11,GA,0.0,
2013,12,GA,0.0,
2014,1,GA,0.0,
2014,2,GA,0.0,
2014,3,GA,0.0,
2014,4,GA,0.0,
2014,5,GA,0.0,
2014,6,GA,0.0,
2014,7,GA,0.0,
2014,8,GA,0.0,
2014,9,GA,0.0,
2014,10,GA,0.0,
2014,11,GA,0.0,
2014,12,GA,0.0,
2015,1,GA,0.0,
2015,2,GA,0.0,
2015,3,GA,0.0,
2015,4,GA,0.0,
2015,5,GA,0.0,
2015,6,GA,0.0,
2015,7,GA,0.0,
2015,8,GA,0.0,
2015,9,GA,0.0,
2015,10,GA,0.0,
2015,11,GA,0.0,
2015,12,GA,0.0,
2016,1,GA,0.0,
2016,2,GA,0.0,
2016,3,GA,0.0,
